Name,Gender,Age,MStat,PostCode,Population,NClaims,TotalClaims
BORIS MORSE,M,48,S,3450,6749,1,12319.01047
ALYSE WELLER,F,58,S,6020,20283,0,0
CHARLINE GINGERICH,F,20,M,3072,29926,0,0
MIRTA DYE,F,25,M,3038,28159,0,0
HILTON MCCULLOCH,M,61,S,3219,20051,0,0
JOANNIE BURKETT,F,63,S,3585,10744,1,467.7259056
JULIE ORLANDO,F,48,S,2380,10138,0,0
LAKESHIA STEPP,F,19,M,5034,9667,0,0
DAN ARTIS,M,75,S,3107,13149,0,0
CLARISA UTLEY,F,64,M,5355,7041,1,6436.121519
TESSA FAIR,F,30,S,6107,36882,0,0
MELISA THORNTON,F,29,S,2760,27032,0,0
MALINDA HAGAN,F,79,S,6012,8599,1,797.0061587
VIVAN ROSAS,F,27,S,2540,41738,0,0
ROXIE RIOS,F,59,S,4880,12136,0,0
AVERY TRAPP,M,34,M,3332,949,0,0
REA DELGADO,F,78,S,4216,33735,0,0
JOLINE JACK,F,87,S,2261,51003,0,0
CARMEN SMOOT,M,73,S,6714,18274,0,0
JAIMEE MORA,F,42,S,832,9665,1,5301.505845
CAROL GARDNER,M,42,S,3220,15286,0,0
YUN ROTH,F,28,M,4810,21525,1,8422.658735
NICOLETTE CLANTON,F,41,S,3156,35656,0,0
ILIANA REA,F,28,S,2567,33965,1,344.4025305
MEREDITH COPELAND,F,30,S,2486,30593,1,385.2807753
SAGE FOX,F,85,S,6220,4699,1,2514.23549
JARED BILLINGS,M,68,S,2067,22621,1,7766.569285
ANDREAS KANG,M,16,S,5097,13318,1,300
MONET MCCARTY,F,44,S,2777,17783,0,0
JIMMY LOWMAN,F,35,M,4105,12833,0,0
SYNTHIA PATE,F,21,M,5159,33149,1,3659.309456
FARRAH CEPEDA,F,42,S,2170,95044,1,4148.009696
ROLANDA LEUNG,F,16,S,4818,20306,0,0
PHUONG CLEGG,F,38,S,2150,24811,0,0
EDISON MCKEOWN,M,58,M,6063,13998,1,2060.85537
AWILDA LOGAN,F,44,M,2130,6588,0,0
SHALANDA SHELTON,F,66,S,2486,30593,1,1402.330109
LUELLA RHOADES,F,68,S,5108,37960,2,19119.73497
NENA RAZO,F,46,S,4869,17629,2,17046.37884
HERB BRENNAN,M,45,S,5070,14190,1,9053.244387
ROBENA TRUE,F,45,S,4069,33073,0,0
GOLDIE BURKE,F,44,S,6103,8404,0,0
JULIAN ANGLIN,F,26,M,3151,10142,0,0
CLARENCE KERSEY,M,49,S,3085,13738,0,0
JEFFRY HUSKEY,M,73,S,6153,19032,1,641.565246
JAE OATES,F,45,S,3919,2841,1,458.9564402
NEIL ROONEY,M,73,M,4510,42205,1,4389.235469
MARLYS DUNNING,F,33,M,2484,18050,0,0
THANH LI,M,57,S,3108,18359,0,0
KORI HOPPE,F,23,M,3185,12222,0,0
BERTIE CORONEL,F,21,M,4305,57601,0,0
PHYLICIA SHERWOOD,F,69,S,2099,36685,0,0
LENA SKINNER,F,54,M,3962,1150,0,0
MARQUIS LANCE,M,55,S,5158,24026,1,9171.499221
CHANCE SHACKELFORD,M,43,S,2218,15176,3,8636.522598
RANDY ETHERIDGE,M,54,M,4740,79542,1,2544.560434
BROOKS WITHERS,M,69,S,3059,11968,1,397.7352931
CINDI SHEEHAN,F,48,S,2041,14753,2,14268.95072
DANN MCCREARY,F,66,S,4701,42364,0,0
BRITTANEY HOLLEY,F,45,S,2767,19505,1,6485.192154
LYNWOOD HUTCHESON,M,37,S,860,3061,0,0
SANA YATES,F,24,S,6065,52076,0,0
DANITA RESTREPO,F,55,S,3048,18107,0,0
ELDRIDGE DEMERS,M,23,M,5162,33458,1,1378.661151
STACY MAGEE,M,57,S,3377,8682,0,0
XIAO ROSALES,F,41,S,6725,9857,0,0
BENNIE MORRILL,M,82,S,5043,17585,2,9553.606193
CARROLL EAGLE,M,26,M,2770,60345,0,0
CORTNEY DAILY,F,43,S,5244,4305,1,1482.76708
AMIE EVERS,F,61,S,4017,35809,0,0
REID WOMACK,M,58,S,4630,2615,0,0
ELLI ORTA,F,68,S,2206,18318,0,0
LAKIA COVERT,F,21,M,6107,36882,0,0
DARRELL RAMEY,M,63,S,3825,20324,0,0
LEIF MORGAN,M,44,S,3363,3301,0,0
JENNY KEETON,F,43,S,6007,6748,0,0
SOLEDAD VILLEGAS,F,41,S,5068,11807,1,11053.12648
HAYWOOD WHITTEN,M,40,M,4341,13086,0,0
DAMIEN EMERY,M,65,S,3196,23591,1,2312.423904
JUDI MCCULLOCH,F,72,S,4073,9332,0,0
KANDRA JEFFERSON,F,31,M,6031,11333,0,0
DIONE CARLOS,F,48,M,2334,2485,0,0
JENNETTE HUDDLESTON,F,64,S,4171,14543,0,0
MARITZA KNOTT,F,61,M,6023,15023,0,0
PRINCESS BERGER,F,50,S,3977,67423,1,1284.157542
JERAMY HAND,M,37,S,2620,36434,3,11796.14159
JAN MUNSON,F,73,S,2768,26462,0,0
LISETTE BENEDICT,F,71,S,4122,41929,0,0
WINTER HEARD,F,84,S,4210,16275,0,0
ANISSA XIE,F,59,S,4564,9863,0,0
BRETT MINER,M,56,S,4350,102245,0,0
TOBIAS BILLINGSLEY,M,27,S,6021,19151,0,0
ANITA CHISHOLM,F,60,S,3931,22420,0,0
PORFIRIO HITE,M,40,S,2204,24611,1,3564.807505
FARRAH GALLAGHER,F,68,S,5108,37960,1,20997.73524
ROSARIO LOGSDON,M,52,M,6060,21885,1,310.5853863
LAVERA HAWLEY,F,41,S,2036,26896,0,0
DEEANNA NOONAN,F,26,M,4817,29739,0,0
BERTHA METZGER,F,73,S,2158,8289,0,0
ANGEL DODSON,F,42,S,3143,8760,0,0
LIZETTE MINOR,F,70,S,3201,19121,1,300
MARIELLA ARAUJO,F,67,S,3356,14332,1,13941.55022
ASSUNTA HAMMOCK,F,32,M,2120,19626,0,0
KATHRINE RAMOS,F,79,S,2151,20223,1,1445.766376
ROSARIO MANLEY,M,49,M,3028,27778,1,3210.775829
IGNACIO HARDER,M,65,S,7017,4731,0,0
FORREST TEJADA,M,78,S,2766,14178,0,0
FARAH SHOCKLEY,F,70,S,3231,1421,0,0
STACY TOWNS,M,52,M,7171,3007,0,0
TAMAR NOLASCO,F,82,S,2154,37914,1,3707.107938
FERNANDA SANTOYO,F,42,M,5608,13855,0,0
CRISTOBAL UPCHURCH,M,41,S,6280,23485,0,0
IMELDA TURK,F,50,S,4305,57601,0,0
JONELLE HARDER,F,30,M,6122,9379,0,0
KORI LEVY,F,33,M,6151,16437,1,1245.585946
KIMBRA MCALISTER,F,20,M,6083,3462,0,0
CHER CHAN,F,62,S,3030,77756,3,25968.71145
RAUL DYSON,M,37,M,2800,41363,0,0
SHELBY KREMER,F,54,S,2167,7555,0,0
ALLEEN MONAGHAN,F,47,S,4341,13086,0,0
MARYELLEN BALES,F,26,M,6121,2726,0,0
ARTHUR WALLING,M,38,S,4800,8683,0,0
DAPHINE HATCHER,F,59,S,2785,4570,2,8519.793362
LU WOOTEN,F,72,S,2262,20153,0,0
GEMMA BARRAGAN,F,71,S,6056,37071,2,4962.006
ELDRIDGE HOWARD,M,51,S,4227,18386,0,0
SHERICE TERAN,F,84,S,3551,24131,1,4595.543942
DANTE MALIK,M,25,S,4410,1245,0,0
BECKI MINNICK,F,21,S,3051,11755,0,0
NORBERTO GARVEY,M,84,S,870,25187,0,0
DENICE MINTER,F,90,M,3195,34102,0,0
SHAWANA NICHOLAS,F,41,S,3806,45549,0,0
WILFREDO KAMINSKI,M,62,S,2290,32178,1,830.3236346
MITCHELL HUDGINS,M,40,S,4121,23782,0,0
JUSTIN GRUBBS,M,76,S,2200,40612,1,1156.200453
RAE HOOKER,F,66,S,4507,17047,1,9374.034003
SHEA PLANTE,F,24,S,4300,45132,0,0
SANTIAGO KEENEY,M,33,S,3775,3490,0,0
NUMBERS CASON,M,60,S,2015,8427,0,0
MARIO OSTRANDER,M,18,M,3936,9015,0,0
CARY ALTMAN,F,76,S,6081,4717,0,0
ZANE MALONE,M,57,S,2756,32296,0,0
MILO FUNG,M,43,M,3690,30550,0,0
DOMINGO WARFIELD,M,29,S,2753,17082,2,6583.647119
CHUNG MCKNIGHT,M,62,S,2612,14666,0,0
LEO CLEMENS,M,60,S,6430,23007,0,0
KIP WEBBER,M,74,S,4220,28882,0,0
SARA ONEILL,F,20,M,5113,18688,0,0
DEMETRIUS SUTTON,F,60,S,2251,31836,0,0
MARYLOU FRANCIS,F,30,S,4870,66306,1,9148.182587
STANFORD MOYE,M,48,S,3860,6971,1,2071.619724
CECIL KYLE,M,43,M,6107,36882,0,0
AZZIE DUBE,F,80,S,4031,12608,0,0
AISHA KISH,F,50,S,4069,33073,0,0
DANIAL BERNIER,M,41,M,4500,37630,0,0
RICHARD LOTT,M,32,S,810,29723,0,0
HERMINE MEREDITH,F,38,M,3183,17953,0,0
RUBIN MCGUIRE,M,20,M,4075,21202,0,0
CURTIS CONNORS,F,54,S,2827,3586,1,925.8897367
RICK HAMMONS,M,34,M,2750,42587,1,3139.27974
TIERA BUTTON,F,70,S,4870,66306,0,0
JORDON BROOME,M,40,M,2042,17720,0,0
BOBBY AMIN,M,45,S,2328,2553,0,0
NEWTON LATIMER,M,51,S,5291,8561,0,0
IVAN HUSTON,M,53,M,3134,31104,0,0
AUDIE FRAUSTO,F,26,M,2614,19120,0,0
ELDORA DEWEY,F,66,S,3936,9015,0,0
SIBYL NESBITT,F,77,S,2093,21611,0,0
MIKEL LEDBETTER,M,76,S,2340,45700,1,6519.231626
JOSUE RAMBO,M,45,S,2212,14298,1,991.7891612
BOOKER MOONEY,M,60,S,3219,20051,2,1347.042189
PORTIA ESCOBAR,F,41,S,2324,22535,1,13174.62151
KATHRIN WESTBROOK,F,19,M,6157,12957,1,988.9467215
HONG ISRAEL,M,20,M,3240,2081,0,0
ASHLIE BARFIELD,F,41,S,2444,42618,0,0
SHEA DRURY,F,31,S,6122,9379,0,0
HIPOLITO NEEDHAM,M,39,S,4405,13931,1,8321.088107
TIM ENGEL,M,18,M,4570,39094,0,0
ERIK GROGAN,M,58,M,2323,24735,1,7168.988893
WELDON LANTZ,M,62,S,5127,8003,0,0
RICHIE VILLA,M,44,S,5041,12972,0,0
POK OGDEN,F,28,M,2213,20376,1,7996.248081
DARON JARAMILLO,M,59,S,2260,21788,1,1409.120146
AUGUSTINA REITER,F,40,S,2251,31836,1,3257.4874
HERMELINDA STRAUB,F,16,S,2761,27726,0,0
DARIO WILLINGHAM,M,54,S,3494,638,0,0
ENRIQUETA GRABOWSKI,F,46,S,3195,34102,0,0
HUGO GREENWOOD,M,45,S,3172,22367,0,0
DAVE BUCKINGHAM,M,32,M,2527,20614,1,638.3609239
RENATO CARLOS,M,67,S,2044,7192,1,6807.411481
MELVIN ARGUETA,M,82,S,4006,14725,1,1144.62299
MERLE BURKETT,M,58,S,2902,15448,0,0
BUFORD BARONE,M,55,S,7307,9251,0,0
OLEVIA RESENDIZ,F,49,S,2137,24018,0,0
SEBASTIAN CHAPPELL,M,28,S,2680,22687,1,11203.84578
RICHIE THOMAS,M,32,M,3199,52625,0,0
TEODORO BAZAN,M,33,S,4670,77161,2,4497.357223
LAWANA HARP,F,45,S,3039,13532,0,0
DWAYNE TURNBULL,M,34,M,2141,25479,0,0
GLAYDS HERRINGTON,F,74,S,2178,4825,0,0
IGNACIO WESTMORELAND,M,37,M,5095,17928,1,7363.763821
ELVERA SNOW,F,50,S,2327,7359,0,0
HARVEY CAUDILL,M,29,M,2710,9834,0,0
NANNIE PENG,F,32,S,4075,21202,0,0
LUKE BARRON,M,16,S,2470,14549,0,0
GLENNA AREVALO,F,66,S,3029,68424,1,3181.243352
LEANA KELSO,F,16,S,5235,1930,0,0
WALDO VALLES,M,56,S,3188,16874,0,0
CARLEE PELTIER,F,79,S,6069,25373,0,0
EVELINE DELVALLE,F,57,S,4745,3003,1,13329.54253
VIVAN STAFFORD,F,50,S,3084,24272,1,10029.29948
BARTON CROMER,M,26,M,2745,26233,1,1267.424654
EMERSON DUVALL,M,35,S,6158,6932,1,11047.0448
IKE BECKER,M,77,S,6107,36882,0,0
GERALD COLBY,M,22,M,3040,23869,1,17050.65277
ELBERT WADE,M,75,S,3020,40553,2,2097.560426
DARRON MARIANO,M,41,M,3015,16157,0,0
MICHAL HEATON,F,26,S,2250,65633,2,4011.27342
EMIKO SCHULZ,F,43,S,4113,27447,1,2783.584644
LUNA TU,F,54,S,872,15483,0,0
SAL SAMMONS,M,61,S,2380,10138,0,0
LORINDA MULLINS,F,29,M,2480,44394,0,0
JACKSON KOPP,M,53,M,4211,56333,1,313.043283
KANDRA TILLMAN,F,79,S,4504,16223,0,0
CARROLL FELDER,M,37,S,4301,23203,2,26738.32634
RUBIE PEASE,F,23,M,4817,29739,0,0
FATIMA BACK,F,49,S,2114,21476,2,18619.44279
BURT GEARY,M,61,S,7301,4015,0,0
DEIDRA HENDRIX,F,24,M,4575,21145,0,0
CLINT ENCARNACION,M,22,M,4211,56333,2,2951.979175
RODNEY ATCHISON,M,37,S,2750,42587,1,10770.54465
JARRED LOWE,M,41,S,2126,18779,2,1637.658017
CARMEN STEPHENS,M,30,S,3020,40553,1,3182.835954
BROCK SHEFFIELD,M,77,S,2147,35074,1,15701.89135
ALEC CANNON,M,28,M,2540,41738,0,0
LENNY MITCHELL,M,27,M,2500,37081,0,0
LATORIA GUINN,F,69,S,4184,6342,0,0
CHARITA AVILES,F,28,M,3629,9155,0,0
ALPHONSO GREEN,M,23,M,2203,12979,0,0
CHASSIDY COFFEY,F,60,S,2428,22699,0,0
ZACHERY SPEARS,M,26,S,4119,5325,0,0
KRISTAL BOLANOS,F,66,S,2787,4233,0,0
BEN SEARS,M,27,S,5076,9260,0,0
NORRIS PETTIGREW,M,32,M,3075,19872,0,0
THEODORE HALE,M,49,S,2614,19120,0,0
RICKIE MOEN,M,29,M,6108,22965,0,0
LACIE WADDELL,F,62,S,2769,2933,0,0
ARNULFO CHARLTON,M,66,S,3183,17953,0,0
RICKIE FERRARI,M,37,S,3338,15804,0,0
NGAN BARGER,F,70,S,3204,28184,0,0
YADIRA MAGANA,F,43,M,4559,5946,0,0
MARCELINE CORTEZ,F,38,S,800,4545,0,0
SUNDAY PARRIS,F,58,S,6100,13610,2,12672.93586
MARISELA ALTAMIRANO,F,51,S,4350,102245,0,0
ALONSO JOHNSTON,M,37,S,5043,17585,1,1023.618924
NICKOLE WEISS,F,38,S,3338,15804,1,469.5229745
ROSALEE GAY,F,38,S,4507,17047,0,0
OFELIA FULTON,F,65,S,4671,5885,0,0
ALFONSO ABBOTT,M,43,S,3156,35656,0,0
HENRIETTA FULTON,F,35,S,2529,22309,0,0
LUANA BUTTON,F,22,M,3046,30803,0,0
ARETHA AMEZCUA,F,52,S,4120,8566,0,0
TOBY GARDINER,M,37,S,4211,56333,0,0
VIRGIL HAMBLIN,M,53,M,2306,3096,0,0
RONALD TERRAZAS,M,22,M,2760,27032,0,0
ARIANNE ANGULO,F,59,S,2548,6875,0,0
JOHNSON FULLERTON,M,54,S,3155,20827,0,0
MIQUEL DAVILA,M,53,S,5412,1212,0,0
JACKIE BARROW,M,65,S,3199,52625,0,0
NICKY BYNUM,M,59,S,6102,13831,0,0
GAYE BALLEW,F,17,S,2541,24143,0,0
NOHEMI LOR,F,18,M,7250,47234,1,501.6282769
OZELLA OHARA,F,59,S,6108,22965,0,0
KATHYRN PAGANO,F,35,S,4066,16146,0,0
CARLETTA ISAAC,F,28,M,3023,55703,0,0
DWAYNE CATES,M,27,S,4280,14880,0,0
TOMAS FOWLER,M,26,S,5086,15158,0,0
DESIRE NEELY,F,34,S,3030,77756,0,0
SHERI HOWLAND,F,45,S,4510,42205,2,2390.316832
NATASHIA BRICE,F,34,M,2065,27175,0,0
YAN FRANTZ,F,86,S,2570,28344,1,4364.481239
CHARA RECTOR,F,30,M,6061,33695,0,0
WILLIAN MICHAUD,M,39,S,6152,24370,1,5219.030103
MYRA TOLER,F,60,S,4019,19007,0,0
HOLLEY ARROYO,F,65,S,4151,14946,1,15395.33065
ENRIQUE HAYES,M,61,S,2066,27623,0,0
NOLAN THORNHILL,M,32,M,4022,6682,1,2637.09787
BUDDY SPARKS,M,55,S,3155,20827,0,0
EMA DUTTON,F,57,S,2758,8527,0,0
PASTY ROJO,F,19,M,7310,27182,1,2701.49462
JANINE HACKETT,F,90,S,2216,26060,1,10837.36137
DUNCAN GALLARDO,M,37,M,3015,16157,0,0
RUEBEN CONAWAY,M,57,S,3858,2885,0,0
LYNDON TILLERY,M,42,S,2036,26896,0,0
MARILU GOODEN,F,68,S,3977,67423,3,14284.43233
ALI SOLORIO,F,50,S,3030,77756,0,0
DANNIE PHIPPS,M,65,S,5043,17585,1,4819.05483
BENJAMIN ALLEY,M,50,S,870,25187,0,0
JACKELINE DUPREE,F,31,S,3941,11704,0,0
ROYCE CROWLEY,F,20,M,6390,2228,0,0
CHRIS LANGLEY,M,32,S,6280,23485,1,6943.567001
KEVIN PARTRIDGE,M,58,S,3074,20332,1,5684.022135
BUNNY PARRA,F,60,S,3862,3129,0,0
GIOVANNI PURVIS,M,35,M,7316,6017,0,0
DANNIE PROCTOR,M,53,S,6718,811,1,490.530754
KIMBERLEE GONSALVES,F,66,S,5063,11805,0,0
VAUGHN DEAN,M,43,S,3193,18771,1,2817.554127
SHERWOOD ANTONIO,M,28,S,2546,8792,0,0
JACKIE KEYES,F,38,S,2777,17783,1,11546.75876
JAMAL JABLONSKI,M,22,M,6053,13524,0,0
HOBERT BURNEY,M,54,S,2530,29720,0,0
MERISSA BOYCE,F,52,S,2477,11247,2,13485.52936
ANTONE SHULER,M,26,S,7304,5877,0,0
CELENA MOSS,F,38,S,3101,23878,0,0
GORDON MONTERO,M,88,S,4552,7773,0,0
ROYCE EVERSON,M,44,M,4358,1967,0,0
LAURINE BIDDLE,F,37,S,3216,52005,1,953.9033652
DENEEN JEROME,F,59,S,2441,6299,0,0
TRACEY AKERS,M,38,S,5311,586,2,8800.095273
RAUL YE,M,17,S,4069,33073,0,0
BECKY FUQUA,F,48,S,2218,15176,1,873.099238
JOE FINCH,M,38,S,2100,19445,0,0
ELI MESA,M,44,M,2011,18040,0,0
ARNOLDO SWEARINGEN,M,58,S,2007,7111,0,0
JENELL WOODWARD,F,41,S,2756,32296,1,3263.530443
ROSAMARIA CLEMENTE,F,54,S,2474,6386,0,0
JETTIE AMOS,F,48,M,4021,9930,0,0
DOUGLAS RUTLEDGE,M,48,S,4214,35809,0,0
LEIGH BRATTON,F,16,S,5047,7499,0,0
SAM YANCEY,M,28,S,5091,7343,0,0
JAMIKA CASTELLON,F,25,S,6151,16437,1,8524.071287
DANILO GOLDSTEIN,M,26,S,3158,6964,0,0
ANNELLE DELRIO,F,34,S,2021,14239,0,0
BRIAN CLEM,M,25,M,2067,22621,0,0
HOA LYLE,F,70,S,2430,32568,0,0
TRINA MACLEAN,F,16,S,7000,13427,0,0
CLAIR REARDON,M,60,S,6726,5158,1,636.7858927
ROSALINA ALCANTARA,F,67,S,3351,7721,0,0
DION BUCHHOLZ,M,51,S,3038,28159,0,0
ANNELLE GLEASON,F,41,S,2500,37081,0,0
MARSHA HANSON,F,74,S,2770,60345,0,0
NOVELLA GRANTHAM,F,37,S,3067,4905,0,0
MARYANNE SALES,F,64,S,2767,19505,0,0
ELLIOTT BAIL,M,24,M,3076,26347,0,0
GARRY SHERRILL,M,50,S,3108,18359,0,0
MARCENE VILLEGAS,F,32,S,3072,29926,0,0
ADENA SOLIZ,F,67,S,4055,19550,2,13157.53055
LIZZETTE WOODRUFF,F,29,S,4159,13797,1,1958.406115
TYREE HOULE,M,86,S,2024,11078,1,3367.01628
JACINTA LOCKE,F,21,M,4212,24473,0,0
BORIS SCHREIBER,M,35,M,4123,16090,1,1994.875966
SALVATORE WETZEL,M,49,M,4575,21145,0,0
CLINT CEJA,M,16,S,4051,25847,0,0
PERLA PICHARDO,F,23,M,2641,14313,0,0
ZOILA ADDISON,F,30,M,2120,19626,0,0
ANGELLA VELASCO,F,28,M,3835,505,0,0
IRMA BRINKMAN,F,59,S,3286,615,0,0
NICKI HERBST,F,17,S,4226,29249,1,300
WARNER SWAFFORD,M,71,S,5024,12949,1,4958.766297
ELLSWORTH MCGRAW,M,66,S,2770,60345,1,22879.94173
DELMA DAWSON,F,35,M,2646,6791,0,0
DORLA BEEBE,F,34,M,4006,14725,0,0
MARGERY FITZPATRICK,F,43,S,3127,18090,0,0
DWAYNE GREENFIELD,M,32,M,5211,14451,0,0
ELBERT BRADLEY,M,31,M,2450,38299,1,2668.558792
RANDALL ROBERTS,M,26,S,5573,2059,0,0
LARITA LAWTON,F,65,S,3111,11793,0,0
MYRLE HARP,F,53,S,3083,28074,0,0
PEARLY WITHERSPOON,F,47,S,3350,54342,0,0
KIP GILBERT,M,48,S,3356,14332,0,0
CHINA BOYLE,F,64,S,2750,42587,0,0
ANH NEELY,F,39,S,2170,95044,2,11223.16781
LIZBETH WIGGINS,F,31,S,2536,17466,0,0
